,期数,红球_1,红球_2,红球_3,红球_4,红球_5,蓝球_1,蓝球_2
391,21107,03,05,13,20,25,07,11
392,21106,02,13,14,32,34,02,12
393,21105,07,10,11,17,18,04,09
394,21104,23,25,26,30,33,03,11
395,21103,04,10,23,30,31,05,11
396,21102,02,08,11,16,23,02,07
397,21101,13,18,19,27,32,06,11
398,21100,07,11,23,26,28,02,07
399,21099,15,19,27,28,30,03,04
400,21098,02,07,21,27,33,07,09
401,21097,11,26,30,31,33,03,10
402,21096,07,08,10,20,21,01,05
403,21095,10,15,19,20,30,11,12
404,21094,05,06,24,27,33,05,12
405,21093,20,25,27,28,31,08,11
406,21092,12,14,27,28,34,03,07
407,21091,01,04,10,21,29,03,05
408,21090,06,07,19,26,32,06,12
409,21089,01,17,24,28,35,10,12
410,21088,02,14,31,34,35,01,07
411,21087,10,14,15,25,28,03,10
412,21086,02,03,07,16,17,06,10
413,21085,01,12,15,26,35,10,11
414,21084,02,10,14,30,33,06,09
415,21083,07,09,11,26,35,01,08
416,21082,01,14,22,29,33,03,10
417,21081,05,13,24,29,35,07,08
418,21080,15,16,20,29,30,06,10
419,21079,06,14,19,26,33,08,11
420,21078,02,08,17,19,25,01,05
421,21077,02,06,09,21,25,06,08
422,21076,06,13,22,25,26,02,04
423,21075,06,14,15,17,20,01,05
424,21074,11,14,18,20,25,03,07
425,21073,08,12,14,20,24,06,10
426,21072,02,03,15,22,26,03,11
427,21071,08,11,16,29,35,01,04
428,21070,03,20,21,22,24,06,12
429,21069,01,03,24,32,33,04,06
430,21068,02,20,21,26,30,02,10
431,21067,01,04,22,23,34,08,09
432,21066,24,26,29,34,35,09,11
433,21065,23,25,30,31,35,07,08
434,21064,01,17,19,32,34,06,10
435,21063,05,09,14,29,30,09,11
436,21062,04,06,23,32,34,05,07
437,21061,15,19,20,26,32,04,07
438,21060,09,13,25,31,33,03,07
439,21059,04,16,27,28,35,02,09
440,21058,13,15,17,23,34,01,11
441,21057,05,07,19,20,28,05,07
442,21056,03,11,16,21,26,09,10
443,21055,03,06,10,11,24,10,11
444,21054,03,06,17,20,25,03,09
445,21053,03,06,15,17,35,07,11
446,21052,02,11,13,14,30,09,12
447,21051,01,04,14,16,19,03,04
448,21050,09,22,32,33,35,05,10
449,21049,01,10,22,23,25,02,12
450,21048,04,07,17,21,27,10,12
451,21047,01,06,09,25,33,04,08
452,21046,06,08,12,14,18,06,08
453,21045,01,04,06,11,19,07,09
454,21044,06,18,31,33,35,10,11
455,21043,07,12,17,19,34,01,10
456,21042,09,15,20,23,29,04,05
457,21041,02,05,09,11,32,04,09
458,21040,02,03,09,16,19,03,07
459,21039,04,12,14,21,35,02,11
460,21038,09,11,20,29,32,01,07
461,21037,10,21,27,29,33,04,12
462,21036,08,17,25,28,33,07,11
463,21035,05,11,16,30,32,03,04
464,21034,08,10,14,25,34,07,08
465,21033,01,03,05,30,32,01,05
466,21032,01,11,14,34,35,07,10
467,21031,01,04,19,20,34,03,05
468,21030,18,23,25,26,32,02,07
469,21029,02,06,10,32,33,04,07
470,21028,02,03,05,17,29,04,10
471,21027,09,21,22,26,30,04,12
472,21026,07,11,20,24,27,01,11
473,21025,17,18,23,30,31,10,12
474,21024,11,14,21,24,31,02,10
475,21023,07,09,13,16,32,02,09
476,21022,02,12,22,30,33,02,04
477,21021,16,18,29,33,35,09,12
478,21020,07,21,22,30,33,04,06
479,21019,01,12,13,28,29,03,04
480,21018,02,20,23,26,34,05,10
481,21017,17,21,26,29,32,02,07
482,21016,08,09,10,19,34,01,02
483,21015,04,08,17,19,25,01,07
484,21014,07,13,20,27,29,04,09
485,21013,21,27,28,30,34,08,11
486,21012,06,12,20,23,33,01,09
487,21011,06,09,11,14,21,01,03
488,21010,01,05,16,22,34,08,11
489,21009,01,03,20,29,32,05,12
490,21008,05,19,20,27,33,03,08
491,21007,05,23,30,34,35,08,10
492,21006,04,22,25,28,35,04,05
493,21005,03,07,10,12,35,03,05
494,21004,05,10,17,23,28,02,08
495,21003,07,21,28,31,35,04,10
496,21002,02,16,26,31,34,09,11
497,21001,02,06,12,19,33,08,09
498,20134,08,11,13,22,25,04,07
499,20133,11,24,26,33,35,08,09
500,20132,03,15,16,17,21,07,10
501,20131,08,25,27,29,35,02,03
502,20130,16,17,23,26,32,02,12
503,20129,10,22,27,33,34,01,11
504,20128,09,12,13,26,33,04,10
505,20127,01,04,17,18,26,03,10
506,20126,01,04,09,22,28,04,12
507,20125,01,02,03,08,22,01,04
508,20124,11,15,24,26,35,04,05
509,20123,01,07,11,15,21,04,11
